,Lat,Lon,Kommun,Lan,Quanity,Date
396,64.1715927717177,19.55825097615678,Vindeln,Västerbotten,1,2021-07-22 00:00:00
397,55.66008696330982,13.576255510268242,Lund,Skåne,1,2020-05-05 00:00:00
398,56.927510662258264,16.08192182759413,Nybro,Kalmar,1,2021-05-13 00:00:00
399,59.311226840573426,15.029704974526298,Örebro,Örebro,2,2022-01-30 00:00:00
400,60.1077507010858,18.306050033955383,Östhammar,Uppsala,4,2020-06-29 00:00:00
401,60.11194656147533,18.28636290139753,Östhammar,Uppsala,26,2020-06-29 00:00:00
402,60.112768725630715,18.289447206883924,Östhammar,Uppsala,1,2020-06-29 00:00:00
403,66.34766155660739,20.5268866703363,Jokkmokk,Norrbotten,1,2021-06-10 00:00:00
404,62.21682698351147,16.63111620886557,Sundsvall,Västernorrland,5,2021-06-16 00:00:00
405,62.17721241753273,16.890125994904142,Sundsvall,Västernorrland,1,2021-06-16 12:00:00
406,62.17710206207409,16.890467607938206,Sundsvall,Västernorrland,1,2021-06-16 12:00:00
407,62.7572240477383,18.05230052022221,Härnösand,Västernorrland,3,2021-06-18 12:00:00
408,62.75688389910644,18.05280331959296,Härnösand,Västernorrland,1,2021-06-18 12:00:00
409,62.62212182377043,16.312565282095463,Ånge,Västernorrland,1,2021-06-14 00:00:00
410,62.613340779093676,16.92247770483287,Sundsvall,Västernorrland,2,2021-06-14 12:00:00
411,60.59288853676746,17.56333670092673,Älvkarleby,Uppsala,1,2022-01-24 00:00:00
412,59.56125660681284,18.213256179320485,Vallentuna,Stockholm,10,2022-02-14 00:00:00
413,59.3321693064099,12.992245214793613,Grums,Värmland,1,2021-08-15 12:00:00
414,63.79846398149468,20.551296875949724,Umeå,Västerbotten,1,2022-03-01 00:00:00
415,66.20266233074211,21.455669857843304,Boden,Norrbotten,1,2021-06-12 12:00:00
416,65.91694422825462,21.55456178438471,Boden,Norrbotten,2,2021-07-21 12:00:00
417,59.8557508067955,17.551124702847783,Uppsala,Uppsala,1,2022-03-14 00:00:00
418,57.02611150324547,16.02170897178859,Högsby,Kalmar,5,2021-04-24 00:00:00
419,58.72783063079155,16.703522309373593,Nyköping,Södermanland,1,2022-03-21 00:00:00
420,62.29146455901418,15.53325761351628,Ljusdal,Gävleborg,3,2021-06-06 12:00:00
421,62.29154417428879,15.532678822059134,Ljusdal,Gävleborg,15,2021-06-06 12:00:00
422,62.29151611769091,15.532101007200728,Ljusdal,Gävleborg,4,2021-06-06 12:00:00
423,62.29064662513899,15.532532823630051,Ljusdal,Gävleborg,1,2021-06-06 12:00:00
424,62.28966260704057,15.5340446505629,Ljusdal,Gävleborg,1,2021-06-06 12:00:00
425,62.28977512336445,15.536529189484236,Ljusdal,Gävleborg,9,2021-06-06 12:00:00
426,62.289613394625846,15.536415030519077,Ljusdal,Gävleborg,15,2021-06-06 12:00:00
427,62.2893011140586,15.537323402506816,Ljusdal,Gävleborg,28,2021-06-06 12:00:00
428,62.216797563695536,16.171425200202336,Nordanstig,Gävleborg,1,2021-06-07 00:00:00
429,62.216506517564106,16.169499559403555,Nordanstig,Gävleborg,1,2021-06-07 00:00:00
430,62.21655288839409,16.168923478016403,Nordanstig,Gävleborg,1,2021-06-07 00:00:00
431,58.957317358244296,16.30406889594999,Katrineholm,Södermanland,1,2022-03-20 00:00:00
432,59.537289695346736,15.016185131327182,Nora,Örebro,1,2022-03-29 00:00:00
433,58.85834590819156,16.34577673270768,Katrineholm,Södermanland,1,2022-04-02 00:00:00
434,58.838513304288085,17.01372548267745,Nyköping,Södermanland,1,2022-04-01 00:00:00
435,59.461550099850115,17.423995361519275,Enköping,Uppsala,1,2022-03-16 00:00:00
436,60.12092748534538,16.72565441846632,Sala,Västmanland,1,2021-06-08 12:00:00
437,60.12301774698126,16.725820642107525,Sala,Västmanland,4,2021-06-08 12:00:00
438,60.123169185809466,16.72598676802856,Sala,Västmanland,3,2021-06-08 12:00:00
439,60.12579292640427,16.72559221444221,Sala,Västmanland,1,2021-06-08 12:00:00
440,60.13107714865219,16.732415173178595,Sala,Västmanland,1,2021-06-08 12:00:00
441,60.1304943244731,16.732326823188064,Sala,Västmanland,1,2021-06-08 12:00:00
442,60.1311613536498,16.733209253199362,Sala,Västmanland,1,2021-06-08 12:00:00
443,60.12795683219465,16.726786044437606,Sala,Västmanland,1,2021-07-25 12:00:00
444,60.20376451129973,16.74899782572202,Sandviken,Gävleborg,1,2021-07-27 00:00:00
445,60.203982324649296,16.748661439913928,Sandviken,Gävleborg,1,2021-07-27 00:00:00
446,60.205650871212484,16.748799465659605,Sandviken,Gävleborg,1,2021-07-27 00:00:00
447,60.206296484802756,16.747627697188957,Sandviken,Gävleborg,3,2021-07-27 00:00:00
448,60.198114265382884,16.750873172045047,Sandviken,Gävleborg,1,2021-07-27 00:00:00
449,60.203982324649296,16.748661439913928,Sandviken,Gävleborg,2,2021-06-10 00:00:00
450,60.206296484802756,16.747627697188957,Sandviken,Gävleborg,5,2021-06-10 00:00:00
451,60.20596380232796,16.74770833847261,Sandviken,Gävleborg,3,2021-06-10 00:00:00
452,60.20492561840497,16.747281847694012,Sandviken,Gävleborg,7,2021-06-10 00:00:00
453,58.6500550818313,16.69959649569024,Norrköping,Östergötland,1,2021-06-23 12:00:00
454,58.649784953054926,16.69971016989276,Norrköping,Östergötland,2,2021-06-23 12:00:00
455,58.65027240681308,16.698034545691293,Norrköping,Östergötland,1,2021-06-23 12:00:00
456,60.22051885393001,16.73681295728261,Sandviken,Gävleborg,3,2021-06-10 12:00:00
457,57.1067058478208,15.124325284382822,Växjö,Kronoberg,2,2022-04-13 00:00:00
458,59.63025321562643,16.52099428476051,Västerås,Västmanland,1,2020-11-17 00:00:00
459,59.43757161161977,16.338297210746628,Eskilstuna,Södermanland,1,2020-06-05 12:00:00
460,58.30936738523777,16.8268192658344,Söderköping,Östergötland,1,2020-11-17 00:00:00
461,57.17920609184603,16.455011017534563,Oskarshamn,Kalmar,1,2020-05-20 12:00:00
462,56.824932814373945,14.292720326774864,Alvesta,Kronoberg,1,2020-06-30 12:00:00
463,56.82834500760964,14.293401768238088,Alvesta,Kronoberg,2,2020-06-08 12:00:00
464,56.82650120142971,14.292444110167317,Alvesta,Kronoberg,1,2020-06-08 12:00:00
465,56.824932814373945,14.292720326774864,Alvesta,Kronoberg,1,2020-06-08 12:00:00
466,56.82834500760964,14.293401768238088,Alvesta,Kronoberg,9,2020-05-22 12:00:00
467,56.82650120142971,14.292444110167317,Alvesta,Kronoberg,2,2020-05-22 12:00:00
468,56.82834500760964,14.293401768238088,Alvesta,Kronoberg,3,2020-06-30 12:00:00
469,56.82895718251561,14.290559375044516,Alvesta,Kronoberg,1,2020-06-30 12:00:00
470,59.69171839582132,15.629002048724885,Skinnskatteberg,Västmanland,1,2020-06-29 12:00:00
471,66.74742120210692,21.917447055692023,Gällivare,Norrbotten,7,2020-07-19 00:00:00
472,58.418797822001906,14.337363063932457,Karlsborg,Västra Götaland,1,2019-06-19 00:00:00
473,57.18910828774051,15.74055450115066,Högsby,Kalmar,1,2020-09-15 00:00:00
474,59.04935216288987,16.618441796259717,Flen,Södermanland,1,2020-11-09 00:00:00
475,65.51788789371328,18.982776175454394,Arvidsjaur,Norrbotten,2,2020-07-08 00:00:00
476,59.01817077680966,18.12847198083742,Haninge,Stockholm,1,2021-04-19 00:00:00
477,59.58129839220907,18.18880304789901,Vallentuna,Stockholm,50,2021-04-23 00:00:00
478,56.64570916493229,16.50176808126475,Mörbylånga,Kalmar,1,2021-04-24 00:00:00
479,59.77312197677801,17.564969586961922,Uppsala,Uppsala,20,2021-04-24 00:00:00
480,59.59460207076776,18.256219870970092,Vallentuna,Stockholm,100,2021-04-25 00:00:00
481,58.36251845474355,13.879778390438053,Skövde,Västra Götaland,1,2021-04-25 00:00:00
482,59.95314228217267,18.80854524151527,Norrtälje,Stockholm,5,2021-05-02 00:00:00
483,59.77010862133019,17.65693674493389,Knivsta,Uppsala,1,2021-05-03 00:00:00
484,59.53872664665084,18.130767022394462,Vallentuna,Stockholm,100,2021-05-07 00:00:00
485,59.54088885270041,18.132896590645373,Vallentuna,Stockholm,100,2021-05-07 00:00:00
486,59.54037335415489,18.129059085163124,Vallentuna,Stockholm,100,2021-05-09 00:00:00
487,59.325928629071726,15.038380835894097,Örebro,Örebro,1,2021-05-10 00:00:00
488,59.54093565612358,18.137833605698436,Vallentuna,Stockholm,50,2021-05-10 00:00:00
489,59.82535444375162,16.20744547025902,Surahammar,Västmanland,1,2021-05-12 00:00:00
490,59.93905268501626,18.413281092007125,Norrtälje,Stockholm,100,2021-05-20 00:00:00
491,59.044086518570715,16.831928853355162,Flen,Södermanland,1,2021-06-04 00:00:00
492,56.90287815193072,16.109230731322107,Nybro,Kalmar,1,2021-05-31 00:00:00
493,58.89637380257623,16.312525203171965,Katrineholm,Södermanland,1,2021-06-06 00:00:00
494,59.93065625071436,12.596154004865562,Arvika,Värmland,1,2021-06-02 00:00:00
495,58.95827456235924,16.30260556202339,Katrineholm,Södermanland,1,2021-06-04 00:00:00
496,59.65730064390149,12.980494593253228,Arvika,Värmland,1,2021-06-07 00:00:00
497,59.7760914655571,18.32311937875542,Norrtälje,Stockholm,1,2021-06-06 00:00:00
498,59.93311062769932,18.415856525845623,Norrtälje,Stockholm,5,2021-05-30 12:00:00
499,59.93623533104493,18.412701928524967,Norrtälje,Stockholm,2,2021-05-30 12:00:00
500,59.94382274096602,18.41592907936369,Norrtälje,Stockholm,5,2021-05-30 12:00:00
501,59.93623533104493,18.412701928524967,Norrtälje,Stockholm,1,2021-05-30 12:00:00
502,59.94003102028504,18.415577272407557,Norrtälje,Stockholm,1,2021-05-30 12:00:00
503,59.52564014649067,14.980199735630281,Nora,Örebro,1,2021-06-17 00:00:00
504,59.8671532386747,18.93262601410292,Norrtälje,Stockholm,1,2021-06-17 00:00:00
505,59.90911363973299,17.708288519770033,Uppsala,Uppsala,1,2021-06-22 00:00:00
506,59.43081329165967,14.807312523434257,Nora,Örebro,1,2021-06-24 00:00:00
507,59.215019123765515,15.227706654691868,Örebro,Örebro,2,2021-06-27 00:00:00
508,59.83797650432607,18.64051726249564,Norrtälje,Stockholm,1,2021-06-14 12:00:00
509,59.93623533104493,18.412701928524967,Norrtälje,Stockholm,6,2021-06-20 00:00:00
510,59.93311062769932,18.415856525845623,Norrtälje,Stockholm,3,2021-06-20 00:00:00
511,59.93772891874023,18.412103331694496,Norrtälje,Stockholm,2,2021-06-20 00:00:00
512,64.38915050854911,17.124599589263326,Åsele,Västerbotten,1,2021-07-01 00:00:00
513,58.82580073682746,16.326591748778206,Katrineholm,Södermanland,1,2021-07-11 00:00:00
514,59.94382274096602,18.41592907936369,Norrtälje,Stockholm,8,2021-07-13 12:00:00
515,59.94003102028504,18.415577272407557,Norrtälje,Stockholm,1,2021-07-13 12:00:00
516,59.93623533104493,18.412701928524967,Norrtälje,Stockholm,2,2021-07-13 12:00:00
517,59.938636251305944,18.414358010643543,Norrtälje,Stockholm,5,2021-07-13 12:00:00
518,59.93794782864142,18.413749122939695,Norrtälje,Stockholm,7,2021-07-13 12:00:00
519,58.19457737406884,14.91051203840126,Boxholm,Östergötland,2,2021-06-12 00:00:00
520,59.7760914655571,18.32311937875542,Norrtälje,Stockholm,1,2021-07-23 00:00:00
521,58.971579473688564,16.25829214432682,Katrineholm,Södermanland,1,2021-08-02 00:00:00
522,58.96859237539069,16.265293201466342,Katrineholm,Södermanland,1,2021-08-02 00:00:00
523,58.49681693493529,13.690027994821016,Skövde,Västra Götaland,1,2019-08-15 00:00:00
524,58.493531922084635,13.690139909155898,Skövde,Västra Götaland,1,2019-08-15 00:00:00
525,58.493531922084635,13.690139909155898,Skövde,Västra Götaland,1,2019-06-26 00:00:00
526,59.44979154294183,14.84328304597513,Nora,Örebro,2,2021-05-22 00:00:00
527,58.99097349575845,15.622788548422966,Örebro,Örebro,1,2021-05-24 00:00:00
528,56.98025239744885,16.055027158311198,Högsby,Kalmar,1,2021-05-20 00:00:00
529,57.85244930684873,11.966578403361671,Göteborg,Västra Götaland,2,2021-05-28 00:00:00
