Lat,Lon,Month,row_id,ssrd,ssrd_lag1,ssrd_lag2,ssrd_lag3,swvl1,swvl1_lag1,swvl1_lag2,swvl1_lag3,swvl2,swvl2_lag1,swvl2_lag2,swvl2_lag3,t2m,t2m_lag1,t2m_lag2,t2m_lag3,tp,tp_lag1,tp_lag2,tp_lag3
57.99482356566898,15.299155858425078,2023-10-01,40,2661958.5,4625845.0,5918370.0,10405336.0,0.25926208,0.33041382,0.26437378,0.20854187,0.25979614,0.33451843,0.25753784,0.19386292,279.47925,287.45508,289.4912,288.94922,0.0015906985,0.0008316685,0.0024552552,0.0024003068
58.09805405801161,16.727590054957552,2023-10-01,41,2661958.5,4625845.0,5918370.0,10405336.0,0.25926208,0.33041382,0.26437378,0.20854187,0.25979614,0.33451843,0.25753784,0.19386292,279.47925,287.45508,289.4912,288.94922,0.0015906985,0.0008316685,0.0024552552,0.0024003068
58.09822253930468,16.727882692080495,2023-10-01,42,2661958.5,4625845.0,5918370.0,10405336.0,0.25926208,0.33041382,0.26437378,0.20854187,0.25979614,0.33451843,0.25753784,0.19386292,279.47925,287.45508,289.4912,288.94922,0.0015906985,0.0008316685,0.0024552552,0.0024003068
58.81464989376175,16.19110899553735,2023-11-01,43,747050.0,2710806.5,5139697.0,6735846.0,0.26417542,0.33859253,0.23956299,0.27786255,0.26901245,0.3422699,0.24453735,0.27752686,273.8269,278.40698,288.75195,288.6045,0.0010203142,0.00093128486,0.0011200805,0.0029823391
59.251438641783295,15.337053902571432,2024-03-01,44,6548756.0,1584848.0,729340.0,116704.0,0.24603271,0.37234497,0.26205444,0.21679688,0.24711609,0.37228394,0.2617035,0.22058105,275.79492,271.07642,269.0808,265.6897,0.0009359226,0.0014024866,0.00081060897,0.00078309234
58.24870815005759,16.203589388101566,2024-03-01,45,6548756.0,1584848.0,729340.0,116704.0,0.24603271,0.37234497,0.26205444,0.21679688,0.24711609,0.37228394,0.2617035,0.22058105,275.79492,271.07642,269.0808,265.6897,0.0009359226,0.0014024866,0.00081060897,0.00078309234
58.097962024321056,15.370186503663348,2024-03-01,46,6548756.0,1584848.0,729340.0,116704.0,0.24603271,0.37234497,0.26205444,0.21679688,0.24711609,0.37228394,0.2617035,0.22058105,275.79492,271.07642,269.0808,265.6897,0.0009359226,0.0014024866,0.00081060897,0.00078309234
57.924287622065734,15.589042668357695,2024-03-01,47,6548756.0,1584848.0,729340.0,116704.0,0.24603271,0.37234497,0.26205444,0.21679688,0.24711609,0.37228394,0.2617035,0.22058105,275.79492,271.07642,269.0808,265.6897,0.0009359226,0.0014024866,0.00081060897,0.00078309234
58.11347615144336,14.786627814205447,2024-04-01,48,11707834.0,6482032.0,1576986.0,341358.0,0.25482178,0.38310242,0.4799347,0.23220825,0.25341797,0.3843994,0.4797821,0.22994995,277.813,274.58984,273.80493,264.00854,0.0022735381,0.002452615,0.0013412763,0.0009181916
58.76790057967417,16.33213787074765,2024-04-01,49,11707834.0,6482032.0,1576986.0,341358.0,0.25482178,0.38310242,0.4799347,0.23220825,0.25341797,0.3843994,0.4797821,0.22994995,277.813,274.58984,273.80493,264.00854,0.0022735381,0.002452615,0.0013412763,0.0009181916
58.19733673582824,15.767798019754036,2024-05-01,50,21329054.0,13349744.0,6816202.0,1434368.0,0.1691742,0.3821106,0.4710846,0.2182312,0.18623352,0.38536072,0.47177124,0.21891785,287.96948,277.64307,276.29102,267.39478,0.00079054176,0.0021185288,0.00093763624,0.0011144248
58.80421341808984,15.319058068868376,2024-05-01,51,21329054.0,13349744.0,6816202.0,1434368.0,0.1691742,0.3821106,0.4710846,0.2182312,0.18623352,0.38536072,0.47177124,0.21891785,287.96948,277.64307,276.29102,267.39478,0.00079054176,0.0021185288,0.00093763624,0.0011144248
57.74653346125511,15.427322428955671,2024-05-01,52,21560430.0,13349744.0,6816202.0,1434368.0,0.18121338,0.3821106,0.4710846,0.2182312,0.19425964,0.38536072,0.47177124,0.21891785,287.90112,277.64307,276.29102,267.39478,0.0007678771,0.0021185288,0.00093763624,0.0011144248
57.91862080031057,15.593548163805153,2024-05-01,53,21560430.0,13349744.0,6816202.0,1434368.0,0.18121338,0.3821106,0.4710846,0.2182312,0.19425964,0.38536072,0.47177124,0.21891785,287.90112,277.64307,276.29102,267.39478,0.0007678771,0.0021185288,0.00093763624,0.0011144248
58.130801253333225,14.79626633366639,2024-09-01,54,10248206.0,14157314.0,17384334.0,21451570.0,0.2210083,0.37254333,0.46276855,0.19888306,0.22113037,0.37661743,0.4638672,0.20274353,287.08472,288.92578,289.5664,287.9348,0.0023273323,0.0034984385,0.004954279,0.003416837
