Lat,Lon,ssrd_lag1,ssrd_lag2,ssrd_lag3,swvl1_lag1,swvl1_lag2,swvl1_lag3,swvl2_lag1,swvl2_lag2,swvl2_lag3,t2m_lag1,t2m_lag2,t2m_lag3,tp_lag1,tp_lag2,tp_lag3,valid_time
55.0,23.300000000000082,18204740.0,54812390.0,120598504.0,0.40400314,0.39006856,0.3689915,0.40261588,0.39336395,0.36374345,276.6445,277.85556,283.58163,0.015726702,0.021208344,0.0662651,2025-12-01
55.0,23.400000000000084,18096056.0,54171896.0,120319550.0,0.40388808,0.3893092,0.3663842,0.40247026,0.39243013,0.36024526,276.57126,277.80994,283.52902,0.015351633,0.021248749,0.06681464,2025-12-01
55.0,23.500000000000085,18021802.0,53634476.0,120097630.0,0.40465164,0.3904434,0.36708364,0.40321288,0.39328715,0.36134684,276.51395,277.77158,283.4754,0.015089141,0.021295255,0.06739022,2025-12-01
55.0,23.600000000000087,18045648.0,53388812.0,120036220.0,0.40517998,0.39138794,0.37087962,0.40390334,0.39437306,0.36620846,276.50647,277.7583,283.4322,0.01513833,0.021351902,0.06805433,2025-12-01
55.0,23.700000000000088,18068578.0,53143610.0,119963800.0,0.40543047,0.3918269,0.37299863,0.4042848,0.3949117,0.36892897,276.49637,277.74918,283.4008,0.015177058,0.02140542,0.0687155,2025-12-01
55.0,23.80000000000009,18087920.0,52902604.0,119842590.0,0.40542412,0.39196268,0.37423214,0.40436998,0.39501953,0.3702752,276.48996,277.74548,283.3777,0.015166456,0.021441257,0.069370314,2025-12-01
55.0,23.90000000000009,18134760.0,52752680.0,119669960.0,0.40512338,0.39148965,0.37248477,0.4040521,0.394398,0.3677821,276.46277,277.74136,283.34982,0.0151179,0.02147152,0.0699985,2025-12-01
55.0,24.000000000000092,18215636.0,52727696.0,119428184.0,0.40475592,0.3908666,0.36967123,0.40366936,0.39365998,0.3640102,276.42307,277.74136,283.31177,0.014987478,0.021433009,0.070606425,2025-12-01
55.0,24.100000000000094,18282874.0,52621384.0,119179176.0,0.4051857,0.3922938,0.37373155,0.40432104,0.39517212,0.36895064,276.3634,277.72147,283.2421,0.014970923,0.021683192,0.07107646,2025-12-01
55.0,24.200000000000095,18347028.0,52497110.0,118928210.0,0.40544257,0.39335936,0.37678775,0.40474764,0.3962845,0.3726521,276.29114,277.69757,283.17343,0.01498037,0.021995468,0.071514025,2025-12-01
