Lat,Lon,ssrd_lag1,ssrd_lag2,ssrd_lag3,swvl1_lag1,swvl1_lag2,swvl1_lag3,swvl2_lag1,swvl2_lag2,swvl2_lag3,t2m_lag1,t2m_lag2,t2m_lag3,tp_lag1,tp_lag2,tp_lag3,Month
55.0,10.5,29545434.0,57946732.0,111332144.0,0.3661783039569855,0.3649551272392273,0.33473747968673706,0.3672548532485962,0.35812023282051086,0.31844109296798706,279.30413818359375,280.8786926269531,285.60662841796875,0.01535788830369711,0.02352154813706875,0.07383069396018982,2025-12-01
55.0,10.6,29590414.0,57983484.0,111310336.0,0.365949422121048,0.36482492089271545,0.33438897132873535,0.3671149015426636,0.35806477069854736,0.318484902381897,279.2953186035156,280.8778991699219,285.59637451171875,0.015353254042565823,0.023586561903357506,0.07385558634996414,2025-12-01
55.0,12.0,31710750.0,60494504.0,119752568.0,0.36179324984550476,0.36488038301467896,0.33801713585853577,0.3632759749889374,0.3603159487247467,0.32485321164131165,279.1416931152344,280.6363525390625,285.3186950683594,0.011384143494069576,0.018314151093363762,0.0561007484793663,2025-12-01
55.0,12.1,31788526.0,60590808.0,119974560.0,0.36208054423332214,0.3653823733329773,0.33950215578079224,0.36344119906425476,0.3606257140636444,0.32549262046813965,279.15234375,280.64007568359375,285.30548095703125,0.011487728916108608,0.01884845457971096,0.055624619126319885,2025-12-01
55.0,12.3,32049008.0,61268528.0,121889248.0,0.2400944083929062,0.24454650282859802,0.22852498292922974,0.24399855732917786,0.24324798583984375,0.2184162735939026,279.2601623535156,280.68017578125,285.27825927734375,0.010895236395299435,0.020912712439894676,0.05505310371518135,2025-12-01
55.0,12.4,32049008.0,61268528.0,121889248.0,0.2400944083929062,0.24454650282859802,0.22852498292922974,0.24399855732917786,0.24324798583984375,0.2184162735939026,279.2601623535156,280.68017578125,285.27825927734375,0.010895236395299435,0.020912712439894676,0.05505310371518135,2025-12-01
55.0,15.0,33565728.0,65538340.0,135775136.0,0.3492684066295624,0.3611770570278168,0.3152583837509155,0.35058698058128357,0.3567458987236023,0.2995733320713043,279.1795654296875,280.77960205078125,285.0663146972656,0.011007039807736874,0.0283499788492918,0.05996691808104515,2025-12-01
55.0,15.1,33565728.0,65538340.0,135775136.0,0.3492684066295624,0.3611770570278168,0.3152583837509155,0.35058698058128357,0.3567458987236023,0.2995733320713043,279.1795654296875,280.77960205078125,285.0663146972656,0.011007039807736874,0.0283499788492918,0.05996691808104515,2025-12-01
55.0,21.3,27125706.0,59299072.0,132384816.0,0.39122167229652405,0.3818954527378082,0.38030365109443665,0.3925355076789856,0.3861679136753082,0.37827375531196594,277.2528991699219,278.50433349609375,284.1026611328125,0.024388281628489494,0.015608985908329487,0.05178084969520569,2025-12-01
55.0,21.4,27047834.0,59549576.0,132559216.0,0.3901730179786682,0.38153329491615295,0.3760671317577362,0.39135584235191345,0.3857991397380829,0.3728967607021332,277.2581481933594,278.49542236328125,284.151123046875,0.02228534035384655,0.015204418450593948,0.05049649626016617,2025-12-01
55.0,21.5,26946222.0,59903656.0,132792616.0,0.388610303401947,0.3810465633869171,0.3689122498035431,0.3896358013153076,0.3853006958961487,0.36385369300842285,277.2611083984375,278.4866943359375,284.2225036621094,0.019349748268723488,0.014659982174634933,0.048739269375801086,2025-12-01
55.0,21.6,26807032.0,60082520.0,132271000.0,0.3881493806838989,0.3810577392578125,0.3677520751953125,0.3890254497528076,0.38527780771255493,0.3622716963291168,277.2510681152344,278.4704895019531,284.2469482421875,0.018015803769230843,0.014652583748102188,0.04856133460998535,2025-12-01
55.0,21.7,26658570.0,60218624.0,131565456.0,0.3879515528678894,0.38105112314224243,0.3671751916408539,0.3886771500110626,0.3852081298828125,0.36130401492118835,277.2361145019531,278.4531555175781,284.2630615234375,0.017072493210434914,0.014775063842535019,0.048767849802970886,2025-12-01
55.0,21.8,26496404.0,60285872.0,130567032.0,0.38838091492652893,0.38143107295036316,0.37105634808540344,0.389085978269577,0.38589680194854736,0.3671077489852905,277.2021179199219,278.4124755859375,284.227783203125,0.016746897250413895,0.015115153044462204,0.049592286348342896,2025-12-01
55.0,21.9,26328984.0,60337688.0,129567280.0,0.38876762986183167,0.3815958797931671,0.3742227852344513,0.3894321918487549,0.38637492060661316,0.3717917203903198,277.1697082519531,278.3746337890625,284.2016296386719,0.016391180455684662,0.015440206974744797,0.050422005355358124,2025-12-01
55.0,22.0,26121782.0,60258900.0,128552424.0,0.3891943693161011,0.3812047243118286,0.3775167167186737,0.3896852731704712,0.3858932554721832,0.3763895332813263,277.12384033203125,278.3269958496094,284.1771240234375,0.015782415866851807,0.0156388022005558,0.051312267780303955,2025-12-01
55.0,22.1,25886322.0,60113952.0,127410848.0,0.38941270112991333,0.381094366312027,0.37755659222602844,0.3898525834083557,0.38597971200942993,0.37648797035217285,277.0778503417969,278.2913818359375,284.1500549316406,0.0154056241735816,0.016067486256361008,0.052432067692279816,2025-12-01
55.0,22.2,25619242.0,59846904.0,126122784.0,0.3893758952617645,0.3812601864337921,0.37357059121131897,0.3899199366569519,0.38679149746894836,0.3709559142589569,277.0286865234375,278.2603759765625,284.11236572265625,0.015242374502122402,0.01673811301589012,0.053541399538517,2025-12-01
55.0,22.3,25352412.0,59665784.0,124865288.0,0.3890633285045624,0.37998709082603455,0.36484307050704956,0.389330118894577,0.38486430048942566,0.35834676027297974,276.9717712402344,278.2450866699219,284.0933532714844,0.015059000812470913,0.017361093312501907,0.055112533271312714,2025-12-01
