row_id,Lat,Lon
278,68.1,20.2
279,68.1,20.3
280,68.1,20.4
281,68.1,20.5
282,68.1,20.6
283,68.1,20.7
284,68.1,20.8
285,68.1,20.9
286,68.1,21.0
287,68.1,21.1
288,68.1,21.2
289,68.1,21.3
290,68.1,21.4
291,68.1,21.5
292,68.1,21.6
293,68.1,21.7
294,68.1,21.8
295,68.1,21.9
296,68.1,22.0
297,68.1,22.1
298,68.1,22.2
299,68.1,22.3
300,68.1,22.4
301,68.1,22.5
302,68.1,22.6
303,68.1,22.7
304,68.1,22.8
305,68.1,22.9
306,68.1,23.0
307,68.1,23.1
308,68.0,16.8
309,68.0,16.9
310,68.0,17.0
311,68.0,17.1
312,68.0,17.2
313,68.0,17.3
314,68.0,17.4
315,68.0,17.5
316,68.0,17.6
317,68.0,17.7
318,68.0,17.8
319,68.0,17.9
320,68.0,18.0
321,68.0,18.1
322,68.0,18.2
323,68.0,18.3
324,68.0,18.4
325,68.0,18.5
326,68.0,18.6
327,68.0,18.7
328,68.0,18.8
329,68.0,18.9
330,68.0,19.0
331,68.0,19.1
332,68.0,19.2
333,68.0,19.3
334,68.0,19.4
335,68.0,19.5
336,68.0,19.6
337,68.0,19.7
338,68.0,19.8
339,68.0,19.9
340,68.0,20.0
341,68.0,20.1
342,68.0,20.2
343,68.0,20.3
344,68.0,20.4
345,68.0,20.5
346,68.0,20.6
347,68.0,20.7
348,68.0,20.8
349,68.0,20.9
350,68.0,21.0
351,68.0,21.1
352,68.0,21.2
353,68.0,21.3
354,68.0,21.4
355,68.0,21.5
356,68.0,21.6
357,68.0,21.7
358,68.0,21.8
359,68.0,21.9
360,68.0,22.0
361,68.0,22.1
362,68.0,22.2
363,68.0,22.3
364,68.0,22.4
365,68.0,22.5
366,68.0,22.6
367,68.0,22.7
368,68.0,22.8
369,68.0,22.9
370,68.0,23.0
371,68.0,23.1
372,68.0,23.2
373,68.0,23.3
374,67.9,16.7
375,67.9,16.8
376,67.9,16.9
377,67.9,17.0
378,67.9,17.1
379,67.9,17.2
380,67.9,17.3
381,67.9,17.4
382,67.9,17.5
383,67.9,17.6
384,67.9,17.7
385,67.9,17.8
386,67.9,17.9
387,67.9,18.0
388,67.9,18.1
389,67.9,18.2
390,67.9,18.3
391,67.9,18.4
392,67.9,18.5
393,67.9,18.6
394,67.9,18.7
395,67.9,18.8
396,67.9,18.9
397,67.9,19.0
398,67.9,19.1
399,67.9,19.2
400,67.9,19.3
401,67.9,19.4
402,67.9,19.5
403,67.9,19.6
404,67.9,19.7
405,67.9,19.8
406,67.9,19.9
407,67.9,20.0
408,67.9,20.1
409,67.9,20.2
410,67.9,20.3
411,67.9,20.4
412,67.9,20.5
413,67.9,20.6
414,67.9,20.7
415,67.9,20.8
416,67.9,20.9
417,67.9,21.0
418,67.9,21.1
419,67.9,21.2
420,67.9,21.3
421,67.9,21.4
422,67.9,21.5
423,67.9,21.6
424,67.9,21.7
425,67.9,21.8
426,67.9,21.9
427,67.9,22.0
428,67.9,22.1
429,67.9,22.2
430,67.9,22.3
431,67.9,22.4
432,67.9,22.5
433,67.9,22.6
434,67.9,22.7
435,67.9,22.8
436,67.9,22.9
437,67.9,23.0
438,67.9,23.1
439,67.9,23.2
440,67.9,23.3
441,67.9,23.4
442,67.9,23.5
443,67.8,16.6
444,67.8,16.7
445,67.8,16.8
446,67.8,16.9
447,67.8,17.0
448,67.8,17.1
449,67.8,17.2
450,67.8,17.3
451,67.8,17.4
452,67.8,17.5
453,67.8,17.6
454,67.8,17.7
455,67.8,17.8
456,67.8,17.9
457,67.8,18.0
458,67.8,18.1
459,67.8,18.2
460,67.8,18.3
461,67.8,18.4
462,67.8,18.5
463,67.8,18.6
464,67.8,18.7
465,67.8,18.8
466,67.8,18.9
467,67.8,19.0
468,67.8,19.1
469,67.8,19.2
470,67.8,19.3
471,67.8,19.4
472,67.8,19.5
473,67.8,19.6
474,67.8,19.7
475,67.8,19.8
476,67.8,19.9
477,67.8,20.0
478,67.8,20.1
479,67.8,20.2
480,67.8,20.3
481,67.8,20.4
482,67.8,20.5
483,67.8,20.6
484,67.8,20.7
485,67.8,20.8
486,67.8,20.9
487,67.8,21.0
488,67.8,21.1
489,67.8,21.2
490,67.8,21.3
491,67.8,21.4
492,67.8,21.5
493,67.8,21.6
494,67.8,21.7
495,67.8,21.8
496,67.8,21.9
497,67.8,22.0
498,67.8,22.1
499,67.8,22.2
500,67.8,22.3
501,67.8,22.4
502,67.8,22.5
503,67.8,22.6
504,67.8,22.7
505,67.8,22.8
506,67.8,22.9
507,67.8,23.0
508,67.8,23.1
509,67.8,23.2
510,67.8,23.3
511,67.8,23.4
512,67.8,23.5
513,67.7,16.5
514,67.7,16.6
515,67.7,16.7
516,67.7,16.8
517,67.7,16.9
518,67.7,17.0
519,67.7,17.1
520,67.7,17.2
521,67.7,17.3
522,67.7,17.4
523,67.7,17.5
524,67.7,17.6
525,67.7,17.7
526,67.7,17.8
527,67.7,17.9
528,67.7,18.0
529,67.7,18.1
530,67.7,18.2
531,67.7,18.3
532,67.7,18.4
533,67.7,18.5
534,67.7,18.6
535,67.7,18.7
536,67.7,18.8
537,67.7,18.9
538,67.7,19.0
539,67.7,19.1
540,67.7,19.2
541,67.7,19.3
542,67.7,19.4
543,67.7,19.5
544,67.7,19.6
545,67.7,19.7
546,67.7,19.8
547,67.7,19.9
548,67.7,20.0
549,67.7,20.1
550,67.7,20.2
551,67.7,20.3
552,67.7,20.4
553,67.7,20.5
554,67.7,20.6
555,67.7,20.7
556,67.7,20.8
557,67.7,20.9
558,67.7,21.0
559,67.7,21.1
560,67.7,21.2
561,67.7,21.3
562,67.7,21.4
563,67.7,21.5
564,67.7,21.6
565,67.7,21.7
566,67.7,21.8
567,67.7,21.9
568,67.7,22.0
569,67.7,22.1
570,67.7,22.2
571,67.7,22.3
572,67.7,22.4
573,67.7,22.5
574,67.7,22.6
575,67.7,22.7
576,67.7,22.8
