row_id,Lat,Lon,Month,NDVI,NDVI_clim,NDVI_anom,NDVI_lag1,NDVI_anom_lag1,NDVI_lag2,NDVI_anom_lag2
0,58.78861385871562,15.821427875109364,2021-04-01,0.6777500000000001,0.71235625,-0.0346062499999999,0.71975,0.11575,0.45875,-0.1775437499999999
1,58.78863224378437,15.817156557493064,2021-04-01,0.69475,0.6907375,0.0040124999999999,0.7186,0.1033874999999999,0.45815,-0.1768875
2,58.786980460734576,15.816671865396494,2021-04-01,0.6462,0.6528875000000001,-0.0066875,0.6621,0.0936687499999999,0.6621,0.0936687499999999
3,58.78636109115529,15.815841679484244,2021-04-01,0.6462,0.6528875000000001,-0.0066875,0.6462,-0.0066875,0.6621,0.0936687499999999
4,58.8354127310312,15.509220811725946,2021-05-01,0.6488,0.6787562500000001,-0.02995625,0.5111,-0.08806875,0.6188,0.0304499999999999
5,58.85308576973697,15.46776653960279,2021-05-01,0.71965,0.7214625,-0.0018124999999999,0.66225,-0.0274125,0.7076,0.0530937499999999
6,58.84909720617248,15.453358000492772,2021-05-01,0.68635,0.6993875,-0.0130375,0.5991500000000001,-0.0027812499999999,0.5991500000000001,-0.0027812499999999
7,58.84833858092826,15.451702736447354,2021-05-01,0.7140000000000001,0.7014687500000001,0.0125312499999999,0.5662,-0.0794812499999999,0.64325,0.0634124999999999
8,58.85050229854382,15.455058762467432,2021-05-01,0.68635,0.6993875,-0.0130375,0.68635,-0.0130375,0.5991500000000001,-0.0027812499999999
9,58.850566878816075,15.45569909029593,2021-05-01,0.68635,0.6993875,-0.0130375,0.5991500000000001,-0.0027812499999999,0.63865,0.059725
10,58.85107025119984,15.459262763350912,2021-11-01,0.7959,0.56265625,0.23324375,0.6873,0.0756428571428571,0.7336,-0.0144874999999999
11,58.850381852786974,15.4603263969078,2021-11-01,0.70365,0.565025,0.138625,0.6742,0.0357428571428571,0.7176,-0.0303125
12,58.85382638499325,15.47643935839062,2021-11-01,0.70265,0.57565,0.127,0.7227,0.0717642857142856,0.7504500000000001,0.0166
13,58.879324122349715,15.768326361743412,2021-11-01,0.70465,0.5374062500000001,0.1672437499999999,0.6351,0.0549071428571428,0.7282000000000001,-0.0687312499999999
14,58.67940623311057,16.27955332787219,2022-01-01,0.4356,0.3032499999999999,0.13235,0.40595,0.167875,0.40595,0.167875
15,58.680160059782835,16.27963249990422,2022-01-01,0.4356,0.3032499999999999,0.13235,0.4356,0.13235,0.40595,0.167875
16,58.8999407540104,15.81757314368554,2022-02-01,0.48685,0.38365,0.1031999999999999,0.4926,0.1660714285714286,0.1781,-0.0647333333333333
17,58.898807715044505,15.83126019346997,2022-02-01,0.2951,0.37643125,-0.0813312499999999,0.45485,0.1656,0.22245,0.0363166666666666
18,58.920517214175256,15.889149748415766,2022-04-01,0.5918,0.59391875,-0.00211875,0.27815,-0.06039375,0.33305,0.0505999999999999
19,58.92627575624386,15.896281794904,2022-04-01,0.52715,0.5661312500000001,-0.03898125,0.3726,-0.0550437499999999,0.5970500000000001,0.18033125
20,58.92845371256181,15.912695199521174,2022-04-01,0.5478000000000001,0.6083937500000001,-0.06059375,0.52815,0.0482374999999999,0.33985,-0.0349749999999999
21,58.92991364605419,15.916675914743289,2022-04-01,0.5835,0.58604375,-0.0025437499999999,0.524,0.0479812499999999,0.5205500000000001,0.10241875
22,58.21024927398664,15.00007495883754,2022-11-01,0.30895,0.5466000000000001,-0.23765,0.3912,-0.3069142857142857,0.79235,0.0245562499999999
23,58.28378401909512,16.660709530392417,2022-11-01,0.3579,0.56245625,-0.20455625,0.8422000000000001,0.0918357142857143,0.7718,0.0293999999999999
24,58.82926303023779,15.890905556341464,2023-02-01,0.6172500000000001,0.6405625,-0.0233124999999999,0.48325,0.0139,0.26455,-0.0892
25,58.78881829293652,16.19533661672196,2023-02-01,0.6335000000000001,0.54758125,0.08591875,0.5391,0.2138214285714285,0.5391,0.2138214285714285
26,58.78859449111675,16.195126597307134,2023-02-01,0.6335000000000001,0.54758125,0.08591875,0.6335000000000001,0.08591875,0.5391,0.2138214285714285
27,57.75276048280389,15.422907229973111,2023-03-01,0.64775,0.5857,0.06205,0.7552,0.1589937499999999,0.4092,-0.0721785714285714
28,57.74820048864098,15.423324949279094,2023-03-01,0.48195,0.5256125,-0.0436624999999999,0.69455,0.1341,0.3793,-0.0079642857142857
29,58.64764353892452,16.89819922327769,2023-04-01,0.48735,0.5309875000000001,-0.0436375,0.08045,-0.2980875,0.49845,0.1042875
30,58.26596591255243,16.799297536277503,2023-04-01,,,,,,,
31,57.75142124417517,15.419495244412245,2023-05-01,0.6279,0.6726875,-0.0447874999999999,0.64975,-0.01033125,0.64975,-0.01033125
32,57.75219206671136,15.419050335155436,2023-05-01,0.6279,0.6726875,-0.0447874999999999,0.6279,-0.0447874999999999,0.64975,-0.01033125
33,57.75172060522755,15.417560616313477,2023-05-01,0.6279,0.6726875,-0.0447874999999999,0.6279,-0.0447874999999999,0.6279,-0.0447874999999999
34,57.750846589976085,15.416562317994778,2023-05-01,0.65305,0.68751875,-0.0344687499999999,0.6676000000000001,0.00541875,0.51015,-0.08295625
35,58.05424288332027,15.449966446379976,2023-06-01,0.8360500000000001,0.824775,0.011275,0.743,0.0137249999999999,0.6342,-0.0189
36,56.56977467434972,15.595598457605856,2023-07-01,0.40745,0.7201000000000001,-0.31265,0.679,-0.0107499999999999,0.52875,-0.1228687499999999
37,58.75038117105648,15.199721205882543,2023-08-01,0.69935,0.75610625,-0.0567562499999999,0.70625,-0.0294562499999999,0.6708000000000001,-0.0798375
