row_id,Month,NDVI,Lat,Lon,NDVI_lag1,NDVI_lag2
7879,2025-12-01,0.0673,55.9,13.6,0.2868,0.7129000000000001
7880,2025-12-01,0.049600000000000005,55.9,13.7,0.3834,0.7704000000000001
7881,2025-12-01,0.0687,55.9,13.8,0.4063,0.7634000000000001
7882,2025-12-01,0.1258,55.9,13.9,0.32605,0.7438
7883,2025-12-01,0.22820000000000001,55.9,14.0,0.31115000000000004,0.6399
7884,2025-12-01,0.111,55.9,14.1,0.5683,0.6703
7885,2025-12-01,0.0766,55.9,14.2,0.57615,0.5435
7886,2025-12-01,0.10250000000000001,55.9,14.3,0.5848249999999999,0.6818
7887,2025-12-01,0.10250000000000001,55.9,14.4,0.5848249999999999,0.6818
7853,2025-12-01,-0.0034000000000000002,56.0,12.8,0.49775,0.4491
7854,2025-12-01,-0.026000000000000002,56.0,12.9,0.41385,0.3915
7855,2025-12-01,0.044500000000000005,56.0,13.0,0.5041,0.5331
7856,2025-12-01,0.0487,56.0,13.1,0.4933,0.6869000000000001
7857,2025-12-01,0.0599,56.0,13.2,0.5284,0.6766
7858,2025-12-01,0.11570000000000001,56.0,13.3,0.5700500000000001,0.7335
7859,2025-12-01,0.0328,56.0,13.4,0.52585,0.7574000000000001
7860,2025-12-01,0.0234,56.0,13.5,0.40225,0.7728
7861,2025-12-01,0.025,56.0,13.6,0.5218,0.7723
7862,2025-12-01,0.0368,56.0,13.7,0.33935000000000004,0.6910000000000001
7863,2025-12-01,0.11900000000000001,56.0,13.8,0.41355000000000003,0.7634000000000001
7864,2025-12-01,0.0852,56.0,13.9,0.5946,0.6935
7865,2025-12-01,0.15360000000000001,56.0,14.0,0.5289,0.7181000000000001
7866,2025-12-01,0.1293,56.0,14.1,0.3317,0.4312
7867,2025-12-01,0.0023,56.0,14.2,0.022000000000000002,0.5818000000000001
7868,2025-12-01,0.17370000000000002,56.0,14.3,0.6059,0.6801
7869,2025-12-01,0.0313,56.0,14.4,0.56375,0.6835
7870,2025-12-01,0.014566666666666667,56.0,14.5,0.6217,0.7019333333333333
7834,2025-12-01,-0.0051,56.1,12.7,0.5677,0.7148
7835,2025-12-01,0.020200000000000003,56.1,12.8,0.37355,0.3733
7836,2025-12-01,-0.0039000000000000003,56.1,12.9,0.5295500000000001,0.5326000000000001
7837,2025-12-01,0.039400000000000004,56.1,13.0,0.7463500000000001,0.8443
7838,2025-12-01,0.0376,56.1,13.1,0.5158,0.7366
7839,2025-12-01,0.1003,56.1,13.2,0.64175,0.7946000000000001
7840,2025-12-01,0.029900000000000003,56.1,13.3,0.37625000000000003,0.7149
7841,2025-12-01,0.046900000000000004,56.1,13.4,0.682,0.7844
7842,2025-12-01,0.076,56.1,13.5,0.50525,0.7424000000000001
7843,2025-12-01,0.0432,56.1,13.6,0.4329,0.6831
7844,2025-12-01,0.0424,56.1,13.7,0.52705,0.7301000000000001
7845,2025-12-01,0.18150000000000002,56.1,13.8,0.39235000000000003,0.7603000000000001
7846,2025-12-01,0.198,56.1,13.9,0.4269,0.5628000000000001
7847,2025-12-01,0.1105,56.1,14.0,0.6361,0.5453
7848,2025-12-01,0.0857,56.1,14.1,0.5769000000000001,0.5175000000000001
7849,2025-12-01,0.13140000000000002,56.1,14.2,0.56865,0.7465
7850,2025-12-01,0.010400000000000001,56.1,14.3,0.26915,0.5932000000000001
7851,2025-12-01,-0.0021000000000000003,56.1,14.4,0.619,0.6881
7852,2025-12-01,0.0145,56.1,14.5,0.68235,0.7342000000000001
7801,2025-12-01,0.11560000000000001,56.2,12.7,0.3693,0.3905
7802,2025-12-01,0.1689,56.2,12.8,0.58265,0.7542
7803,2025-12-01,0.21430000000000002,56.2,12.9,0.51665,0.5754
7804,2025-12-01,0.075,56.2,13.0,0.5068,0.6202000000000001
7805,2025-12-01,0.021500000000000002,56.2,13.1,0.5760000000000001,0.6985
7806,2025-12-01,0.0407,56.2,13.2,0.6466500000000001,0.7976000000000001
7807,2025-12-01,0.0673,56.2,13.3,0.6035,0.7672
7808,2025-12-01,0.0917,56.2,13.4,0.5266000000000001,0.7266
