row_id,Month,NDVI,Lat,Lon,NDVI_lag1,NDVI_lag2
7946,2026-01-01,0.415125,55.4,13.0,0.1894,0.64085
7947,2026-01-01,0.27405,55.4,13.1,0.1338,0.4143
7948,2026-01-01,0.449175,55.4,13.2,0.23220000000000002,0.66615
7949,2026-01-01,0.2328,55.4,13.3,0.1632,0.3024
7950,2026-01-01,0.335825,55.4,13.4,0.15330000000000002,0.51835
7951,2026-01-01,0.400875,55.4,13.5,0.1696,0.63215
7952,2026-01-01,0.210925,55.4,13.6,0.0415,0.38035
7934,2026-01-01,0.34972500000000006,55.5,13.0,0.1699,0.5295500000000001
7935,2026-01-01,0.43522500000000003,55.5,13.1,0.2194,0.65105
7936,2026-01-01,0.36135000000000006,55.5,13.2,0.23720000000000002,0.48550000000000004
7937,2026-01-01,0.36155000000000004,55.5,13.3,0.14200000000000002,0.5811000000000001
7938,2026-01-01,0.358575,55.5,13.4,0.12430000000000001,0.59285
7939,2026-01-01,0.516325,55.5,13.5,0.3382,0.69445
7940,2026-01-01,0.31655000000000005,55.5,13.6,0.0419,0.5912000000000001
7941,2026-01-01,0.31415,55.5,13.7,0.054700000000000006,0.5736
7942,2026-01-01,0.33067500000000005,55.5,13.8,0.1075,0.5538500000000001
7943,2026-01-01,0.421225,55.5,13.9,0.22660000000000002,0.61585
7944,2026-01-01,0.49360000000000004,55.5,14.0,0.2155,0.7717
7945,2026-01-01,0.24970000000000003,55.5,14.1,0.0608,0.43860000000000005
7920,2026-01-01,0.124075,55.6,13.0,0.021500000000000002,0.22665000000000002
7921,2026-01-01,0.11590000000000002,55.6,13.1,0.051300000000000005,0.18050000000000002
7922,2026-01-01,0.32865000000000005,55.6,13.2,0.09050000000000001,0.5668000000000001
7923,2026-01-01,0.42360000000000003,55.6,13.3,0.1894,0.6578
7924,2026-01-01,0.318825,55.6,13.4,0.09290000000000001,0.5447500000000001
7925,2026-01-01,0.28385,55.6,13.5,0.1257,0.442
7926,2026-01-01,0.279125,55.6,13.6,0.192,0.36625
7927,2026-01-01,0.32752500000000007,55.6,13.7,0.0409,0.6141500000000001
7928,2026-01-01,0.4242250000000001,55.6,13.8,0.1637,0.6847500000000001
7929,2026-01-01,0.48425000000000007,55.6,13.9,0.2485,0.7200000000000001
7930,2026-01-01,0.40782500000000005,55.6,14.0,0.10060000000000001,0.7150500000000001
7931,2026-01-01,0.262375,55.6,14.1,0.046,0.47875
7932,2026-01-01,0.4768,55.6,14.2,0.3809,0.5727
7906,2026-01-01,0.257775,55.7,13.1,-0.0048000000000000004,0.52035
7907,2026-01-01,0.105375,55.7,13.2,0.0258,0.18495
7908,2026-01-01,0.254675,55.7,13.3,0.0092,0.50015
7909,2026-01-01,0.3115,55.7,13.4,0.0426,0.5804
7910,2026-01-01,0.154575,55.7,13.5,0.0177,0.29145
7911,2026-01-01,0.32765,55.7,13.6,0.0951,0.5602
7912,2026-01-01,0.336725,55.7,13.7,0.0635,0.60995
7913,2026-01-01,0.327025,55.7,13.8,0.158,0.49605000000000005
7914,2026-01-01,0.23082500000000003,55.7,13.9,0.0825,0.37915000000000004
7915,2026-01-01,0.23955000000000004,55.7,14.0,0.08990000000000001,0.38920000000000005
7916,2026-01-01,0.26755,55.7,14.1,0.07060000000000001,0.4645
7917,2026-01-01,0.382,55.7,14.2,0.1802,0.5838
7890,2026-01-01,0.28597500000000003,55.8,13.0,0.0545,0.5174500000000001
