row_id,Lat,Lon,Date,Kommun,Lan,Quantity,Pressence
0,58.78861385871562,15.821427875109363,2021-04-06 00:00:00,Finspång,Östergötland,1,0
1,58.78863224378437,15.817156557493064,2021-04-06 00:00:00,Finspång,Östergötland,1,0
2,58.786980460734576,15.816671865396494,2021-04-06 00:00:00,Finspång,Östergötland,1,0
3,58.78636109115529,15.815841679484244,2021-04-06 00:00:00,Finspång,Östergötland,1,0
4,58.8354127310312,15.509220811725946,2021-05-12 00:00:00,Finspång,Östergötland,1,0
5,58.85308576973697,15.46776653960279,2021-05-12 00:00:00,Finspång,Östergötland,1,0
6,58.84909720617248,15.453358000492772,2021-05-12 00:00:00,Finspång,Östergötland,1,0
7,58.84833858092826,15.451702736447354,2021-05-12 00:00:00,Finspång,Östergötland,1,0
8,58.85050229854382,15.455058762467432,2021-05-12 00:00:00,Finspång,Östergötland,1,0
9,58.850566878816075,15.45569909029593,2021-05-12 00:00:00,Finspång,Östergötland,1,0
10,58.851070251199836,15.459262763350912,2021-11-04 00:00:00,Finspång,Östergötland,1,0
11,58.850381852786974,15.4603263969078,2021-11-04 00:00:00,Finspång,Östergötland,1,0
12,58.85382638499325,15.476439358390621,2021-11-04 00:00:00,Finspång,Östergötland,1,0
13,58.879324122349715,15.768326361743412,2021-11-26 00:00:00,Finspång,Östergötland,1,0
14,58.67940623311057,16.27955332787219,2022-01-26 00:00:00,Norrköping,Östergötland,1,0
15,58.680160059782835,16.27963249990422,2022-01-26 00:00:00,Norrköping,Östergötland,1,0
16,58.8999407540104,15.817573143685541,2022-02-09 00:00:00,Finspång,Östergötland,1,0
17,58.898807715044505,15.83126019346997,2022-02-09 00:00:00,Finspång,Östergötland,1,0
18,58.920517214175256,15.889149748415766,2022-04-06 00:00:00,Finspång,Östergötland,1,0
19,58.92627575624386,15.896281794903999,2022-04-06 00:00:00,Finspång,Östergötland,1,0
20,58.928453712561804,15.912695199521174,2022-04-06 00:00:00,Finspång,Östergötland,1,0
21,58.92991364605419,15.916675914743289,2022-04-06 00:00:00,Finspång,Östergötland,1,0
22,58.21024927398664,15.00007495883754,2022-11-09 00:00:00,Boxholm,Östergötland,1,0
23,58.28378401909512,16.660709530392417,2022-11-11 00:00:00,Söderköping,Östergötland,1,0
24,58.82926303023779,15.890905556341465,2023-02-02 00:00:00,Finspång,Östergötland,1,0
25,58.78881829293652,16.19533661672196,2023-02-17 00:00:00,Norrköping,Östergötland,1,0
26,58.78859449111675,16.195126597307134,2023-02-17 00:00:00,Norrköping,Östergötland,1,0
